"degree" "normalised.degree" "species.strength" "interaction.push.pull" "nestedrank" "PDI" "species.specificity.index" "resource.range" "PSI" "node.specialisation.index.NSI" "betweenness" "weighted.betweenness" "closeness" "weighted.closeness" "Fisher.alpha" "partner.diversity" "effective.partners" "proportional.similarity" "proportional.generality" "d"
"LMV" 51 0.566666666666667 1.53009149539952 0.0103939508901866 0.511627906976744 0.956460674157303 0.286630283179518 0.438202247191011 1 1 0.0156500454892096 0.0181689476168004 0.0116137744767049 0.0087531884266737 14.5710477241958 3.0489972159907 21.0941809057943 0.523574679896519 0.427584524358262 0.207005455646299
"LPV" 45 0.5 0.658156324642626 -0.00759652611905277 0.674418604651163 0.929213483146067 0.213535573568867 0.50561797752809 1 1.05813953488372 0.000485108438952218 0 0.0112761647535449 0.00519058968345005 22.2377441775642 3.33607123036399 28.1084777566931 0.46070318468366 0.569766142885833 0.187237234730439
"MerMV" 58 0.644444444444444 1.26888250773965 0.00463590530585608 0.383720930232558 0.965116279069767 0.296246942021575 0.359550561797753 1 1.02325581395349 0.00638290303148586 0 0.0114787305874409 0.00748247177535716 19.7395993468008 3.07874756875746 21.7311685510674 0.543572275345907 0.44049642933066 0.145504752539263
"MWMV" 47 0.522222222222222 1.76202298586248 0.0162132550183507 0.581395348837209 0.95838992468206 0.314404908804699 0.48314606741573 1 1 0.0156500454892096 0.0297310051911279 0.0116137744767049 0.0087212567870591 13.4678107305216 2.84051071246254 17.1245090044204 0.346588128573304 0.347118244136826 0.392628349833546
"NLSYV" 2 0.0222222222222222 0.0283034953111679 -0.485848252344416 1 0.98876404494382 0.703123049310652 0.98876404494382 1 1.23255813953488 0.00425642039568541 0 0.0102633355840648 0.000140903218293488 268435505.000009 0.693147180559945 2 0.00706683695189442 0.0405405193278503 0.44397864745439
"NoMV" 47 0.522222222222222 0.887109425030786 -0.00240192712700456 0.604651162790698 0.953451043338684 0.257852807755648 0.48314606741573 1 1.02325581395349 0.00516851061373471 0 0.0114787305874409 0.00644659250830956 18.5097816585847 3.11192515274813 22.4642499112499 0.390996168582375 0.455356178856344 0.236370342314222
"OYDV" 70 0.777777777777778 1.65603833062815 0.00937197615183077 0.0465116279069767 0.881116346502356 0.160154271038142 0.224719101123595 1 1 0.0156500454892096 0.00117980179329873 0.0116137744767049 0.00774348359775586 25.9581553230989 3.71705513328684 41.1430547198154 0.611341162184821 0.833980402537738 0.111755819515457
"PapMV" 46 0.511111111111111 0.968185593961341 -0.000691617522579542 0.63953488372093 0.975626620570441 0.337092755025771 0.49438202247191 1 1 0.0156500454892096 0.000235960358659745 0.0116137744767049 0.00629363726408795 18.3874552037332 2.93976500608955 18.9114017258064 0.356867413111136 0.383339023590898 0.318327754191035
"PAV" 50 0.555555555555556 1.15490849135534 0.00309816982710689 0.546511627906977 0.981304881503163 0.40091548735143 0.449438202247191 1 1 0.0156500454892096 0 0.0116137744767049 0.00776718511682853 16.6932900933785 2.62739118100291 13.8376229186178 0.320533873733772 0.280492209691865 0.357647609694326
"PClSV" 54 0.6 1.34862741133212 0.00645606317281696 0.476744186046512 0.951031360053664 0.250304674879308 0.404494382022472 1 1 0.0156500454892096 0 0.0116137744767049 0.00788290198780644 17.6408679501181 3.16018574515243 23.5749744596347 0.44053737084826 0.477870853867199 0.222956353344378
"PDV-1" 11 0.122222222222222 0.148266848900681 -0.0774302864635745 0.906976744186046 0.961797752808989 0.349973136148518 0.887640449438202 1 1.01162790697674 0.0145467743712757 0 0.0115462525320729 0.00128190630612731 8.75498097303969 2.19737006268131 9.00130946335735 0.0896551724137931 0.1824588801376 0.309861774635225
"PeAV" 8 0.0888888888888889 0.174565832628001 -0.1031792709215 0.930232558139535 0.993390614672835 0.641752524912891 0.921348314606742 1 1.01162790697674 0.0149330261040607 0 0.0115462525320729 0.00159835939437295 3.8399793742714 1.35792909073339 3.888132987952 0.0450830140485313 0.0788134652736603 0.492579664605036
"PeMoV" 46 0.511111111111111 1.16468643132051 0.00358013981131542 0.627906976744186 0.953268641470889 0.254191108356814 0.49438202247191 1 1 0.0156500454892096 0 0.0116137744767049 0.00654644602678382 17.4136314075913 3.14271006143391 23.1665646763656 0.343359907580881 0.469592281511047 0.30962508083779
"PenMV" 45 0.5 1.12293473627676 0.00273188302837245 0.662790697674419 0.956352636127917 0.289882327107302 0.50561797752809 1 1 0.0156500454892096 0.00235960358659745 0.0116137744767049 0.00700740582020652 15.8870201314386 2.97591257507681 19.6075084110727 0.346890115747026 0.39744928685504 0.326668141225955
"PiCV-1" 35 0.388888888888889 0.887636039920686 -0.00321039885940898 0.767441860465116 0.966953073364177 0.300787868483484 0.617977528089888 1 1.01162790697674 0.0092123389401353 0 0.0115462525320729 0.00453145905556736 15.4052490775243 2.88753598667696 17.9490284240761 0.279969882388822 0.363831466871196 0.295007894106305
"PkMV" 32 0.355555555555556 0.551837322555704 -0.0140050836701342 0.779069767441861 0.928498467824311 0.205539715135365 0.651685393258427 1 1.02325581395349 0.00516851061373471 0 0.0114787305874409 0.00341463674686334 19.5300365116015 3.2044311524899 24.641478785011 0.2757343550447 0.499489173475275 0.270239322263649
"PMNV" 12 0.133333333333333 0.531063965097994 -0.0390780029085005 0.883720930232558 0.988139825218477 0.517311382904193 0.876404494382023 1 1.02325581395349 0.00516851061373471 0 0.0114787305874409 0.00344537040269879 4.05873376044148 1.7781414588174 5.9188457712704 0.0822903363133248 0.119976540694376 0.551327530991756
"PPV" 35 0.388888888888889 1.12303695134736 0.00351534146706757 0.755813953488372 0.99438202247191 0.668513359896084 0.617977528089888 1 1 0.0156500454892096 0.0323265691363851 0.0116137744767049 0.00720565890263518 11.2763264837606 1.6599206583643 5.25889357867535 0.209291187739464 0.106599138384698 0.588694150476154
"PRSV" 62 0.688888888888889 1.95725628422026 0.0154396174874235 0.302325581395349 0.984176888980517 0.428331661127065 0.314606741573034 1 1.02325581395349 0.00638290303148586 0.0974516281264747 0.0114787305874409 0.00940573947888832 18.279002563082 2.65382410288016 14.2082687700261 0.357175697865353 0.288005297343267 0.387885524617145
"PSbMV" 24 0.266666666666667 0.326309064652832 -0.0280704556394653 0.825581395348837 0.963295880149813 0.306490675894247 0.741573033707865 1 1.03488372093023 0.00518661242302847 0 0.0114112086428089 0.00297467289218057 13.9475502862749 2.6803188551945 14.5897445701425 0.233421136653895 0.295737910867131 0.307794515724372
"PVMV" 9 0.1 0.411578857196375 -0.0653801269781806 0.918604651162791 0.979935794542536 0.443691233604191 0.910112359550562 1 1.06976744186047 0.00378197153323509 0 0.0112086428089129 0.00207382118892092 3.66764401304262 1.82904782189957 6.22795371322646 0.0378458918688804 0.126242238942007 0.53473121461387
"PYMAV" 29 0.322222222222222 0.505455621410525 -0.0170532544341198 0.790697674418605 0.969317199654278 0.298032941262106 0.685393258426966 1 1.03488372093023 0.00233907470508527 0 0.0114112086428089 0.00405726127581037 14.0112077534025 2.88650076572865 17.9304568283607 0.290449544223688 0.363455015803671 0.27688064983681
"PyV" 47 0.522222222222222 1.46127510477455 0.00981436393137338 0.593023255813954 0.973662921348315 0.411534822978161 0.48314606741573 1 1.02325581395349 0.00516851061373471 0.0771590372817367 0.0114787305874409 0.00752599306912697 13.591547832939 2.41554243264986 11.1958417008377 0.363989155519706 0.226942618432181 0.372730767187533
"PYV" 69 0.766666666666667 1.43455827812692 0.00629794605981047 0.0930232558139535 0.926246038605589 0.205776952010525 0.235955056179775 1 1 0.0156500454892096 0 0.0116137744767049 0.00684766642060595 28.3454493184004 3.47465178790647 32.286583999975 0.5316499628403 0.654457441340625 0.156514622563668
"RCCV-A" 4 0.0444444444444444 0.12664174750818 -0.218339563122955 0.953488372093023 0.985955056179775 0.570826327904743 0.966292134831461 1 1.04651162790698 0.00775962670444393 0 0.0113436866981769 0.000599278258193492 2.75920174118743 1.21488965394912 3.36992218619932 0.0189442315879098 0.0683091977614826 0.508024727117508
